rank,distro,hpd,abiword,alsa,ati,bash,bind,chromi,cups,dhcp,e2fsprogs,firefox,freetype,gcc,gimp,glibc,Gnome-she,gnucash,gnumeric,grub,gtk+,httpd,inkscape,k3b,Kde-work,kmod,libgnome,libreoffice,linux,Lxde-common,mariadb,Mate-desk,mesa,mysql,nautilus,nvidia,openbox,openjdk,openssh,openssl,perl,php,plasma,postfix,posetgresql,python,qt,samba,systemd,thunderbird,vim,vlc,xfdesktop,xorg,
45,4mlinux,262,1,6,1,4,1,1,1,1,5,1,12,15,1,7,1,1,1,1,12,7,1,1,1,9,1,1,46,1,9,1,20,1,1,1,1,1,14,19,14,10,1,1,1,1,15,1,1,1,1,1,1,18,0
46,clearos,262,1,5,1,3,1,1,1,1,9,1,2,1,1,3,1,1,1,8,9,1,1,1,1,2,1,1,3,1,1,1,4,1,1,1,1,1,7,6,7,1,1,2,1,7,1,12,3,1,6,1,1,8,0
47,solus,261,1,4,1,4,1,1,16,9,6,25,2,1,1,8,1,1,1,4,22,1,1,1,1,5,1,1,28,1,1,1,27,1,1,10,1,1,12,19,12,1,1,1,1,9,12,22,6,15,1,10,1,18,0
48,korora,260,1,6,1,4,1,1,16,10,6,26,12,14,4,8,11,1,1,8,23,7,6,3,1,9,4,21,40,1,6,4,26,1,10,1,1,19,14,19,14,10,6,1,1,4,15,24,8,15,6,11,7,21,0
49,mangaka,256,1,4,1,4,1,17,10,5,9,22,8,5,3,5,1,1,1,9,13,1,4,1,1,3,4,17,10,1,1,7,3,1,1,1,1,1,8,7,10,1,1,1,1,7,7,18,2,14,6,6,1,9,0
50,archbang,254,1,6,1,4,1,1,1,9,5,22,12,1,1,8,1,1,1,9,21,1,1,1,1,9,1,1,33,1,1,1,21,1,1,1,6,1,14,18,14,1,1,1,1,1,1,1,10,1,1,1,1,18,0
51,ultimate,248,5,5,1,4,1,1,13,8,5,15,8,11,8,7,1,1,5,9,15,1,6,3,1,6,4,12,21,1,1,7,19,1,1,1,1,12,10,7,13,1,3,6,1,9,13,13,7,1,6,7,1,17,0
52,makulu,239,1,4,1,4,13,15,10,1,9,1,8,7,1,1,1,1,1,9,3,1,1,1,1,3,1,1,21,1,1,1,31,8,5,1,1,1,8,4,10,1,1,1,1,1,7,18,2,1,6,1,1,9,0
53,pcbsd,238,1,5,1,4,1,7,11,1,5,12,9,6,3,1,3,1,1,8,14,1,1,2,11,1,1,9,1,3,1,6,6,5,6,5,4,9,6,6,7,6,10,1,1,8,8,11,1,5,6,5,3,4,0
54,wattos,238,1,4,1,4,1,1,1,5,9,15,8,1,1,4,1,1,1,9,13,1,1,1,11,3,1,1,7,2,1,1,3,1,1,1,4,1,8,7,10,1,10,1,1,7,1,18,2,1,6,1,1,9,0
55,ubuntugnome,229,1,6,1,4,1,1,16,8,5,25,8,16,1,7,9,1,1,7,22,1,1,1,1,9,1,20,35,1,1,1,25,1,8,1,1,1,12,19,13,1,1,1,1,9,8,14,10,1,6,1,1,18,0
56,ubuntustudio,224,1,6,1,4,1,1,16,8,5,25,8,16,4,7,1,1,1,7,12,1,6,1,1,9,4,20,35,1,1,1,25,1,1,1,1,1,12,19,13,1,1,1,1,9,8,14,10,1,6,1,7,18,0
57,backbox,219,1,4,1,4,1,1,10,5,9,19,8,5,3,5,1,1,1,9,10,9,1,1,1,3,4,7,10,1,1,1,3,1,1,1,1,12,8,7,10,7,1,1,4,7,7,18,2,10,6,1,4,9,0
58,ghostbsd,211,1,6,1,4,1,1,14,1,5,21,13,8,1,1,1,1,1,5,12,1,1,1,1,1,3,11,1,1,1,3,10,1,1,1,1,1,7,12,13,1,1,1,1,4,13,8,1,13,6,1,7,7,0
59,pinguy,208,1,4,1,4,1,1,10,5,9,22,8,7,1,5,2,1,1,9,13,1,1,1,1,3,4,7,7,1,1,1,3,1,1,1,1,1,8,7,10,1,1,1,1,7,6,18,2,14,6,10,1,9,0
60,voyager,203,4,4,1,4,1,1,10,5,9,13,8,5,3,5,1,1,9,9,10,1,1,1,11,3,4,1,7,1,1,1,2,1,1,1,1,1,8,7,10,1,10,5,1,7,7,18,2,8,6,4,5,9,0
61,chakra,202,1,5,5,4,1,1,14,8,6,1,11,15,1,8,1,1,1,9,1,1,1,3,1,7,1,1,32,1,13,1,11,1,1,9,1,1,14,14,8,1,6,1,1,4,17,14,12,1,6,1,1,16,0
62,dragonflybsd,201,2,5,1,5,2,8,11,8,5,11,9,4,3,1,1,3,4,1,29,4,5,2,11,1,3,10,1,3,11,6,7,10,3,1,4,10,8,10,12,13,10,6,3,10,8,13,1,5,6,5,3,4,0
63,tanglu,197,1,5,1,4,1,1,16,10,6,22,12,16,1,7,10,1,1,9,23,1,1,1,1,9,1,18,38,1,1,1,25,1,10,1,1,1,12,19,13,1,6,1,1,9,14,14,12,1,6,10,1,18,0
64,0linux,196,1,5,1,3,1,5,12,1,4,10,9,6,3,5,3,1,1,1,14,4,5,2,3,6,1,8,11,1,2,6,4,1,6,5,4,9,8,9,11,8,1,1,1,8,8,11,1,4,6,5,3,11,0
65,rosa,185,1,6,1,4,1,11,12,9,7,19,10,11,4,5,1,1,1,4,14,1,1,3,6,8,1,13,9,1,3,1,14,1,1,1,1,1,8,14,10,1,1,3,1,9,9,14,3,12,6,1,1,10,0
66,coreos,184,7,9,10,8,16,23,18,13,12,29,16,18,10,11,17,7,11,13,31,11,8,7,11,14,6,26,34,7,15,10,39,15,15,16,8,23,16,22,16,19,10,15,11,15,19,28,16,19,11,14,9,23,0
67,openelec,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,calculate,178,1,6,1,4,4,15,14,8,6,1,11,8,4,6,1,1,1,9,12,1,1,3,1,8,1,16,19,1,1,6,9,12,1,1,1,1,12,19,13,1,1,11,7,4,8,8,1,1,6,1,6,16,0
69,reactos,178,3,1,1,1,1,1,1,1,1,11,1,1,1,1,1,1,1,1,1,1,1,1,11,1,1,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,1,1,10,1,1,1,5,1,5,1,1,0
70,blackarch,177,1,6,1,4,1,1,1,9,5,14,11,11,1,7,1,1,1,1,19,5,1,1,11,8,4,1,22,1,4,1,12,1,1,1,4,11,11,17,13,14,10,9,6,11,13,20,6,1,6,1,1,17,0
